Name, "Atomic Number", "Symbol", "Mass", "Exact Mass", "Covalent Radius", "Van der Waals Radius"
"Platinum", "78", "Pt", "195,084 u", "194.9647911", "128 pm", "205 pm"
"Gold", "79", "Au", "196,967 u", "196.9665687", "144 pm", "210 pm"
"Mercury", "80", "Hg", "200,59 u", "201.970643", "149 pm", "205 pm"
"Thallium", "81", "Tl", "204,383 u", "204.9744275", "148 pm", "220 pm"
"Lead", "82", "Pb", "207,2 u", "207.9766521", "147 pm", "230 pm"
"Bismuth", "83", "Bi", "208,98 u", "208.9803987", "146 pm", "230 pm"
"Polonium", "84", "Po", "209 u", "208.9824304", "0 pm", "200 pm"
"Astatine", "85", "At", "210 u", "209.987148", "0 pm", "200 pm"
"Radon", "86", "Rn", "222 u", "222.0175777", "145 pm", "200 pm"
"Francium", "87", "Fr", "223 u", "223.0197359", "0 pm", "200 pm"
"Radium", "88", "Ra", "226 u", "226.0254098", "0 pm", "200 pm"
"Actinium", "89", "Ac", "227 u", "227.0277521", "0 pm", "200 pm"
"Thorium", "90", "Th", "232,038 u", "232.0380553", "0 pm", "240 pm"
"Protactinium", "91", "Pa", "231,036 u", "231.035884", "0 pm", "200 pm"
"Uranium", "92", "U", "238,029 u", "238.0507882", "0 pm", "230 pm"
"Neptunium", "93", "Np", "237 u", "237.0481734", "0 pm", "200 pm"
"Plutonium", "94", "Pu", "244 u", "244.064204", "0 pm", "200 pm"
"Americium", "95", "Am", "243 u", "243.0613811", "0 pm", "200 pm"
"Curium", "96", "Cm", "247 u", "247.070354", "0 pm", "200 pm"
"Berkelium", "97", "Bk", "247 u", "247.070307", "0 pm", "200 pm"
"Californium", "98", "Cf", "251 u", "251.079587", "0 pm", "200 pm"
"Einsteinium", "99", "Es", "252 u", "252.08298", "0 pm", "200 pm"
"Fermium", "100", "Fm", "257 u", "257.095105", "0 pm", "200 pm"
"Mendelevium", "101", "Md", "258 u", "258.098431", "0 pm", "200 pm"
"Nobelium", "102", "No", "259 u", "259.10103", "0 pm", "200 pm"
"Lawrencium", "103", "Lr", "262 u", "262.10963", "0 pm", "200 pm"
"Rutherfordium", "104", "Rf", "265 u", "261.10877", "0 pm", "200 pm"
"Dubnium", "105", "Db", "268 u", "262.11408", "0 pm", "200 pm"
"Seaborgium", "106", "Sg", "271 u", "263.11832", "0 pm", "200 pm"
"Bohrium", "107", "Bh", "272 u", "264.1246", "0 pm", "200 pm"
"Hassium", "108", "Hs", "270 u", "265.13009", "0 pm", "200 pm"
"Meitnerium", "109", "Mt", "276 u", "268.13873", "0 pm", "200 pm"
"Darmstadtium", "110", "Ds", "281 u", "271.14606", "0 pm", "0 pm"
"Roentgenium", "111", "Rg", "280 u", "272.15362", "0 pm", "0 pm"
"Copernicium", "112", "Cn", "285 u", "285.17411", "0 pm", "0 pm"
"Ununtrium", "113", "Uut", "284 u", "284.17808", "0 pm", "0 pm"
"Ununquadium", "114", "Uuq", "289 u", "289.18728", "0 pm", "0 pm"
"Ununpentium", "115", "Uup", "288 u", "288.19249", "0 pm", "0 pm"
"Ununhexium", "116", "Uuh", "293 u", "292.19979", "0 pm", "0 pm"
"Ununseptium", "117", "Uus", "Unknown Value", "No Data", "0 pm", "0 pm"
"Ununoctium", "118", "Uuo", "294 u", "No Data", "0 pm", "0 pm"
